2024-11-15 03:09:02.114 UTC | CLIENT=10.0.1.15:51891 | QUERY=api.stripe.com            | TYPE=A   | RESPONSE=34.202.11.75    | TTL=60
2024-11-15 03:09:04.221 UTC | CLIENT=10.0.1.15:51892 | QUERY=smtp.mailgun.org         | TYPE=A   | RESPONSE=69.72.42.11     | TTL=300
2024-11-15 03:09:05.887 UTC | CLIENT=10.0.1.15:51893 | QUERY=cdn.jsdelivr.net          | TYPE=A   | RESPONSE=185.199.108.153 | TTL=3600
2024-11-15 03:09:07.341 UTC | CLIENT=10.0.1.15:51894 | QUERY=fonts.googleapis.com      | TYPE=A   | RESPONSE=142.250.80.74   | TTL=300
2024-11-15 03:09:09.002 UTC | CLIENT=10.0.1.15:51895 | QUERY=fonts.gstatic.com         | TYPE=A   | RESPONSE=142.250.101.132 | TTL=86400
2024-11-15 03:09:12.447 UTC | CLIENT=10.0.1.15:51896 | QUERY=ocsp.digicert.com         | TYPE=A   | RESPONSE=93.184.216.34   | TTL=3600
2024-11-15 03:09:15.118 UTC | CLIENT=10.0.1.15:51897 | QUERY=crl.comodoca.com          | TYPE=A   | RESPONSE=66.96.147.114   | TTL=3600
2024-11-15 03:09:44.003 UTC | CLIENT=10.0.1.15:51898 | QUERY=api.stripe.com            | TYPE=A   | RESPONSE=34.202.11.75    | TTL=57
2024-11-15 03:10:00.009 UTC | CLIENT=10.0.1.15:51899 | QUERY=smtp.mailgun.org         | TYPE=A   | RESPONSE=69.72.42.11     | TTL=295
2024-11-15 03:10:02.881 UTC | CLIENT=10.0.1.15:51900 | QUERY=ntp.ubuntu.com            | TYPE=A   | RESPONSE=91.189.94.4     | TTL=64
2024-11-15 03:10:05.114 UTC | CLIENT=10.0.1.15:51901 | QUERY=security.ubuntu.com       | TYPE=A   | RESPONSE=91.189.91.38    | TTL=3600
2024-11-15 03:11:44.772 UTC | CLIENT=10.0.1.15:52100 | QUERY=api.stripe.com            | TYPE=A   | RESPONSE=34.202.11.75    | TTL=53
2024-11-15 03:12:08.442 UTC | CLIENT=10.0.1.15:53847 | QUERY=seq-4.bF92MTRf.exfil.redteam-c2.xyz | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:09.117 UTC | CLIENT=10.0.1.15:53848 | QUERY=seq-1.RFdZX1lL.exfil.redteam-c2.xyz | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:10.344 UTC | CLIENT=10.0.1.15:53849 | QUERY=seq-6.X0NsM3Yz.exfil.redteam-c2.xyz | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:11.782 UTC | CLIENT=10.0.1.15:53850 | QUERY=seq-2.e1MxbDNu.exfil.redteam-c2.xyz | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:13.009 UTC | CLIENT=10.0.1.15:53851 | QUERY=seq-7.ciF9.exfil.redteam-c2.xyz     | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:14.334 UTC | CLIENT=10.0.1.15:53852 | QUERY=seq-5.RE41XzFz.exfil.redteam-c2.xyz | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:15.891 UTC | CLIENT=10.0.1.15:53853 | QUERY=seq-3.dF8zeGYx.exfil.redteam-c2.xyz | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:18.004 UTC | CLIENT=10.0.1.15:53854 | QUERY=ping.exfil.redteam-c2.xyz            | TYPE=A | RESPONSE=NXDOMAIN | TTL=0
2024-11-15 03:12:44.003 UTC | CLIENT=10.0.1.15:53900 | QUERY=api.stripe.com            | TYPE=A   | RESPONSE=34.202.11.75    | TTL=44
2024-11-15 03:13:01.117 UTC | CLIENT=10.0.1.15:53901 | QUERY=smtp.mailgun.org         | TYPE=A   | RESPONSE=69.72.42.11     | TTL=288
2024-11-15 03:13:22.881 UTC | CLIENT=10.0.1.15:53902 | QUERY=ntp.ubuntu.com            | TYPE=A   | RESPONSE=91.189.94.4     | TTL=59
2024-11-15 03:13:55.219 UTC | CLIENT=10.0.1.15:53903 | QUERY=cdn.jsdelivr.net          | TYPE=A   | RESPONSE=185.199.108.153 | TTL=3589
2024-11-15 03:14:02.005 UTC | CLIENT=10.0.1.15:53904 | QUERY=ocsp.digicert.com         | TYPE=A   | RESPONSE=93.184.216.34   | TTL=3589
